,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode
309,Kokrajhar,Assam,18,1,300
310,Kolar,Karnataka,29,27,581
311,Kolasib,Mizoram,15,2,282
312,Kolhapur,Maharashtra,27,34,530
313,Kolkata,West Bengal,19,16,342
314,Kollam,Kerala,32,13,600
315,Koppal,Karnataka,29,6,560
316,Koraput,Odisha,21,29,398
317,Korba,Chhattisgarh,22,5,404
318,Koriya,Chhattisgarh,22,1,400
319,Kota,Rajasthan,8,29,127
320,Kottayam,Kerala,32,10,597
321,Kozhikode,Kerala,32,4,591
322,Krishna,Andhra Pradesh,28,16,547
323,Krishnagiri,Tamil Nadu,33,30,631
324,Kulgam,Jammu & Kashmir,1,15,15
325,Kullu,Himachal Pradesh,2,4,26
326,Kupwara,Jammu & Kashmir,1,1,1
327,Kurnool,Andhra Pradesh,28,21,552
328,Kurukshetra,Haryana,6,4,72
329,Kurung Kumey,Arunanchal Pradesh,12,12,256
330,Kushinagar,Uttar Pradesh,9,58,189
331,Lahaul and Spiti,Himachal Pradesh,2,3,25
332,Lakhimpur,Assam,18,8,307
333,Lakhisarai,Bihar,10,25,227
334,Lalitpur,Uttar Pradesh,9,36,167
335,Latehar,Jharkhand,20,14,359
336,Latur,Maharashtra,27,28,524
337,Lawngtlai,Mizoram,15,7,287
338,Leh,Jammu & Kashmir,1,3,3
339,Lohardaga,Jharkhand,20,11,356
340,Lohit,Arunanchal Pradesh,12,15,259
341,Longleng,Nagaland,13,8,268
342,Lower Dibang Valley,Arunanchal Pradesh,12,14,258
343,Lower Subansiri,Arunanchal Pradesh,12,11,255
344,Lucknow,Uttar Pradesh,9,26,157
345,Ludhiana,Punjab,3,7,41
346,Lunglei,Mizoram,15,6,286
347,Madhepura,Bihar,10,11,213
348,Madhubani,Bihar,10,5,207
349,Madurai,Tamil Nadu,33,22,623
350,Maharajganj,Uttar Pradesh,9,56,187
351,Mahasamund,Chhattisgarh,22,12,411
352,Mahabubnagar,Andhra Pradesh,28,7,538
353,Mahe,Puducherry,34,3,636
354,Mahendragarh,Haryana,6,16,84
355,Mehsana,Gujarat,24,4,471
356,Mahoba,Uttar Pradesh,9,38,169
357,Mainpuri,Uttar Pradesh,9,17,148
358,Malappuram,Kerala,32,5,592
359,Malda,West Bengal,19,6,332
360,Malkangiri,Odisha,21,30,399
361,Mamit,Mizoram,15,1,281
362,Mandi,Himachal Pradesh,2,5,27
363,Mandla,Madhya Pradesh,23,37,454
364,Mandsaur,Madhya Pradesh,23,16,433
365,Mandya,Karnataka,29,19,573
366,Mansa,Punjab,3,13,47
367,Morigaon,Assam,18,5,304
368,Mathura,Uttar Pradesh,9,14,145
369,Mau,Uttar Pradesh,9,61,192
370,Mayurbhanj,Odisha,21,7,376
371,Medak,Andhra Pradesh,28,4,535
372,Meerut,Uttar Pradesh,9,7,138
373,Nuh,Haryana,6,19,87
374,Mirzapur,Uttar Pradesh,9,68,199
375,Moga,Punjab,3,8,42
376,Mokokchung,Nagaland,13,2,262
377,Mon,Nagaland,13,1,261
378,Moradabad,Uttar Pradesh,9,4,135
379,Morena,Madhya Pradesh,23,2,419
380,Sri Muktsar Sahib,Punjab,3,10,44
381,Mumbai,Maharashtra,27,23,519
382,Mumbai Suburban,Maharashtra,27,22,518
383,Munger,Bihar,10,24,226
384,Murshidabad,West Bengal,19,7,333
385,Muzaffarnagar,Uttar Pradesh,9,2,133
386,Muzaffarpur,Bihar,10,14,216
387,Mysuru,Karnataka,29,23,577
388,Nabarangapur,Odisha,21,28,397
389,Nadia,West Bengal,19,10,336
390,Nagaon,Assam,18,6,305
391,Nagaur,Rajasthan,8,14,112
392,Nagpur,Maharashtra,27,9,505
393,Nainital,Uttarakhand,5,11,66
394,Nalanda,Bihar,10,27,229
395,Nalbari,Assam,18,24,323
